step,track,model,dataset,Memory in Mb,Time in s,MAE,RMSE
21,Regression,ORTO,trumpapproval,0.0,0.0261690420011291,0.0,0.0
42,Regression,ORTO,trumpapproval,0.0,0.0522117079999588,0.0,0.0
63,Regression,ORTO,trumpapproval,0.0,0.0774240419996203,0.0,0.0
84,Regression,ORTO,trumpapproval,0.0,0.1039626250003493,0.0,0.0
105,Regression,ORTO,trumpapproval,0.0,0.1298921249999693,0.0,0.0
126,Regression,ORTO,trumpapproval,0.0,0.155698750000738,0.0,0.0
147,Regression,ORTO,trumpapproval,0.0,0.1815645420010696,0.0,0.0
168,Regression,ORTO,trumpapproval,0.0,0.2075339580005675,0.0,0.0
189,Regression,ORTO,trumpapproval,0.0,0.2336439999999129,0.0,0.0
210,Regression,ORTO,trumpapproval,0.0,0.2598608749995037,0.0,0.0
231,Regression,ORTO,trumpapproval,0.0,0.2860940000009577,0.0,0.0
252,Regression,ORTO,trumpapproval,0.0,0.3124713750003138,0.0,0.0
273,Regression,ORTO,trumpapproval,0.0,0.3389632500002335,0.0,0.0
294,Regression,ORTO,trumpapproval,0.0,0.3650662500003818,0.0,0.0
315,Regression,ORTO,trumpapproval,0.0,0.3911049170001206,0.0,0.0
336,Regression,ORTO,trumpapproval,0.0,0.4174432079998951,0.0,0.0
357,Regression,ORTO,trumpapproval,0.0,0.4439046250008687,0.0,0.0
378,Regression,ORTO,trumpapproval,0.0,0.4694935829993483,0.0,0.0
399,Regression,ORTO,trumpapproval,0.0,0.4950876670009165,0.0,0.0
420,Regression,ORTO,trumpapproval,0.0,0.5217969170007564,0.0,0.0
441,Regression,ORTO,trumpapproval,0.0,0.5485906249996333,0.0,0.0
462,Regression,ORTO,trumpapproval,0.0,0.5753416669995204,0.0,0.0
483,Regression,ORTO,trumpapproval,0.0,0.601618167000197,0.0,0.0
504,Regression,ORTO,trumpapproval,0.0,0.6285677920004673,0.0,0.0
525,Regression,ORTO,trumpapproval,0.0,0.6557166670008883,0.0,0.0
546,Regression,ORTO,trumpapproval,0.0,0.6820132920001925,0.0,0.0
567,Regression,ORTO,trumpapproval,0.0,0.7088402080007654,0.0,0.0
588,Regression,ORTO,trumpapproval,0.0,0.7357162500011327,0.0,0.0
609,Regression,ORTO,trumpapproval,0.0,0.7626721670003462,0.0,0.0
630,Regression,ORTO,trumpapproval,0.0,0.789333708000413,0.0,0.0
651,Regression,ORTO,trumpapproval,0.0,0.8163305830003083,0.0,0.0
672,Regression,ORTO,trumpapproval,0.0,0.8432875830003468,0.0,0.0
693,Regression,ORTO,trumpapproval,0.0,0.8704126669999823,0.0,0.0
714,Regression,ORTO,trumpapproval,0.0,0.8971658330010541,0.0,0.0
735,Regression,ORTO,trumpapproval,0.0,0.9242884169998432,0.0,0.0
756,Regression,ORTO,trumpapproval,0.0,0.9515334170009736,0.0,0.0
777,Regression,ORTO,trumpapproval,0.0,0.9788848330008476,0.0,0.0
798,Regression,ORTO,trumpapproval,0.0,1.0068388330000744,0.0,0.0
819,Regression,ORTO,trumpapproval,0.0,1.0331252920004772,0.0,0.0
840,Regression,ORTO,trumpapproval,0.0,1.0603921670008276,0.0,0.0
861,Regression,ORTO,trumpapproval,0.0,1.0875964580009168,0.0,0.0
882,Regression,ORTO,trumpapproval,0.0,1.1154705829994782,0.0,0.0
903,Regression,ORTO,trumpapproval,0.0,1.1433810830003497,0.0,0.0
924,Regression,ORTO,trumpapproval,0.0,1.170443291999618,0.0,0.0
945,Regression,ORTO,trumpapproval,0.0,1.197927332999825,0.0,0.0
966,Regression,ORTO,trumpapproval,0.0,1.2254665830005251,0.0,0.0
987,Regression,ORTO,trumpapproval,0.0,1.2529934579997644,0.0,0.0
21,Regression,KNNRegressor,trumpapproval,0.0,0.0261081250009738,0.0,0.0
42,Regression,KNNRegressor,trumpapproval,0.0,0.0521555420000368,0.0,0.0
63,Regression,KNNRegressor,trumpapproval,0.0,0.0780078750012762,0.0,0.0
84,Regression,KNNRegressor,trumpapproval,0.0,0.1042145419996813,0.0,0.0
105,Regression,KNNRegressor,trumpapproval,0.0,0.1303941670012136,0.0,0.0
