step,track,model,dataset,Memory in Mb,Time in s,Accuracy
31745,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,73.14282224999988,0.0
32652,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,76.25482195900076,0.0
33559,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,79.47298874999979,0.0
34466,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,82.69145687499986,0.0
35373,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,86.03942766699947,0.0
36280,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,89.42965208399983,0.0
37187,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,92.79328795900074,0.0
38094,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,96.20990604200053,0.0
39001,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,99.66933554200114,0.0
39908,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,103.26529320900045,0.0
40815,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,106.86139100000037,0.0
41722,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,110.5971992499999,0.0
42629,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,114.31616154199946,0.0
43536,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,118.09161529199991,0.0
44443,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,121.95688837499983,0.0
25,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.0474476660001528,0.0
50,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.0788187079997442,0.0
75,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.116171249999752,0.0
100,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.1486262079997686,0.0
125,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.1804670830006216,0.0
150,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.2125102909994893,0.0
175,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.2444424160003109,0.0
200,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.2773869579996244,0.0
225,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.3096445410010346,0.0
250,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.3409148330010794,0.0
275,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.3725289160011016,0.0
300,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.4039537500011647,0.0
325,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.4364639160012302,0.0
350,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.4683147079995251,0.0
375,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.5006115830001363,0.0
400,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.5324666659998911,0.0
425,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.5639712499996676,0.0
450,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.5956862080001883,0.0
475,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.6275613750003686,0.0
500,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.6586141660009162,0.0
525,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.6904468749999069,0.0
550,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.7307865000002494,0.0
575,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.8065321249996487,0.0
600,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.8388497910000297,0.0
625,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.8711820829994394,0.0
650,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.903543415999593,0.0
675,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.9357545410002786,0.0
700,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,0.9679397500003688,0.0
725,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.0004059160000909,0.0
750,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.0323978750002425,0.0
775,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.0656069579999894,0.0
800,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.097507291000511,0.0
825,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.1294200000011188,0.0
850,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.161962416001188,0.0
875,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.1950552500002232,0.0
900,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.228320750000421,0.0
925,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.2612556660005794,0.0
950,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.2944256250011676,0.0
975,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.327399499999956,0.0
1000,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.3605726250007135,0.0
1025,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.3928407080002216,0.0
1050,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.4262080829994377,0.0
1075,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.4589460830011376,0.0
1100,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.4918073749995528,0.0
1125,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.524636541000291,0.0
1150,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.5577875409999251,0.0
1175,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.5908880830011185,0.0
1200,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.6237856250008915,0.0
1225,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.6567695000012463,0.0
1250,Binary classification,AdaptiveRandomForestClassifier,phishing,0.0,1.689887833001194,0.0
1904,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,2.4709552919994167,0.0
3808,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,5.1020846249994065,0.0
5712,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,7.935654958999294,0.0
7616,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,11.040041666999969,0.0
9520,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,14.350081249998766,0.0
11424,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,17.91066520899949,0.0
13328,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,21.770764916998814,0.0
15232,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,25.81766904199867,0.0
17136,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,30.162960583998935,0.0
19040,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,34.718058624999685,0.0
20944,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,39.57223716699991,0.0
22848,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,44.63724908400036,0.0
24752,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,50.02685550000024,0.0
26656,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,55.63205412499883,0.0
28560,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,61.56524570900001,0.0
30464,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,67.80353291699976,0.0
32368,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,74.21096387499892,0.0
34272,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,80.88215175000005,0.0
36176,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,87.80917087499984,0.0
38080,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,94.97179099999994,0.0
39984,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,102.3787732089986,0.0
41888,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,110.01083195899992,0.0
43792,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,117.9550292089989,0.0
45696,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,126.13281174999976,0.0
47600,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,134.5081516249993,0.0
49504,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,143.17519254199942,0.0
51408,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,152.16595529199913,0.0
53312,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,161.4411692499998,0.0
55216,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,171.0276525419995,0.0
57120,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,180.87323937499968,0.0
59024,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,190.99190945899863,0.0
60928,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,201.38017112499983,0.0
62832,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,212.07745925000015,0.0
64736,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,223.03068512499885,0.0
66640,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,234.23580133399992,0.0
68544,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,245.7237377499987,0.0
70448,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,257.4937599169989,0.0
72352,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,269.4893102089991,0.0
74256,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,281.74021870899924,0.0
76160,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,294.2942813339996,0.0
78064,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,307.1405316250002,0.0
79968,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,320.2297389590003,0.0
81872,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,333.5980363749986,0.0
83776,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,347.2329654589994,0.0
85680,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,361.1004054589994,0.0
87584,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,375.2381059170002,0.0
89488,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,389.7330697090001,0.0
91392,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,404.4541844590003,0.0
93296,Binary classification,AdaptiveRandomForestClassifier,smtp,0.0,419.5241261249994,0.0
106,Binary classification,CSMOTE,bananas,0.0,0.1277483329995448,0.0
212,Binary classification,CSMOTE,bananas,0.0,0.2546046669995121,0.0
318,Binary classification,CSMOTE,bananas,0.0,0.383538750000298,0.0
424,Binary classification,CSMOTE,bananas,0.0,0.5120576249992155,0.0
530,Binary classification,CSMOTE,bananas,0.0,0.6407828329993208,0.0
636,Binary classification,CSMOTE,bananas,0.0,0.7702657919999183,0.0
742,Binary classification,CSMOTE,bananas,0.0,0.901081082998644,0.0
848,Binary classification,CSMOTE,bananas,0.0,1.0333711249986663,0.0
954,Binary classification,CSMOTE,bananas,0.0,1.165299416999915,0.0
1060,Binary classification,CSMOTE,bananas,0.0,1.29952591700021,0.0
1166,Binary classification,CSMOTE,bananas,0.0,1.4322393749989717,0.0
1272,Binary classification,CSMOTE,bananas,0.0,1.567435791999742,0.0
1378,Binary classification,CSMOTE,bananas,0.0,1.7019893750002666,0.0
1484,Binary classification,CSMOTE,bananas,0.0,1.837457292000181,0.0
1590,Binary classification,CSMOTE,bananas,0.0,1.97318974999871,0.0
1696,Binary classification,CSMOTE,bananas,0.0,2.1097529999988183,0.0
1802,Binary classification,CSMOTE,bananas,0.0,2.2472250829996483,0.0
1908,Binary classification,CSMOTE,bananas,0.0,2.3847525829987717,0.0
2014,Binary classification,CSMOTE,bananas,0.0,2.523742082999888,0.0
2120,Binary classification,CSMOTE,bananas,0.0,2.6974069999996573,0.0
2226,Binary classification,CSMOTE,bananas,0.0,2.8338983749999898,0.0
2332,Binary classification,CSMOTE,bananas,0.0,2.9713196249995235,0.0
2438,Binary classification,CSMOTE,bananas,0.0,3.107777082999746,0.0
2544,Binary classification,CSMOTE,bananas,0.0,3.2464165419987694,0.0
2650,Binary classification,CSMOTE,bananas,0.0,3.38584549999905,0.0
2756,Binary classification,CSMOTE,bananas,0.0,3.5249307499998395,0.0
2862,Binary classification,CSMOTE,bananas,0.0,3.665351166999244,0.0
2968,Binary classification,CSMOTE,bananas,0.0,3.8061335000002146,0.0
3074,Binary classification,CSMOTE,bananas,0.0,3.9474960829993506,0.0
3180,Binary classification,CSMOTE,bananas,0.0,4.091585749998558,0.0
3286,Binary classification,CSMOTE,bananas,0.0,4.233771291999801,0.0
3392,Binary classification,CSMOTE,bananas,0.0,4.377541916999689,0.0
3498,Binary classification,CSMOTE,bananas,0.0,4.5222054999994725,0.0
3604,Binary classification,CSMOTE,bananas,0.0,4.66717216699908,0.0
3710,Binary classification,CSMOTE,bananas,0.0,4.812925374999395,0.0
3816,Binary classification,CSMOTE,bananas,0.0,4.9595014579990675,0.0
3922,Binary classification,CSMOTE,bananas,0.0,5.106623124998805,0.0
4028,Binary classification,CSMOTE,bananas,0.0,5.25567004199911,0.0
4134,Binary classification,CSMOTE,bananas,0.0,5.404530750000049,0.0
4240,Binary classification,CSMOTE,bananas,0.0,5.554585957999734,0.0
4346,Binary classification,CSMOTE,bananas,0.0,5.706026166999436,0.0
4452,Binary classification,CSMOTE,bananas,0.0,5.857641417000195,0.0
4558,Binary classification,CSMOTE,bananas,0.0,6.009240874998795,0.0
4664,Binary classification,CSMOTE,bananas,0.0,6.162134541998967,0.0
4770,Binary classification,CSMOTE,bananas,0.0,6.315627750000203,0.0
4876,Binary classification,CSMOTE,bananas,0.0,6.468888082999911,0.0
4982,Binary classification,CSMOTE,bananas,0.0,6.624023458000011,0.0
5088,Binary classification,CSMOTE,bananas,0.0,6.779563000000053,0.0
5194,Binary classification,CSMOTE,bananas,0.0,6.935013166999852,0.0
5300,Binary classification,CSMOTE,bananas,0.0,7.091752667000037,0.0
907,Binary classification,CSMOTE,elec2,0.0,1.127420124999844,0.0
1814,Binary classification,CSMOTE,elec2,0.0,2.3129219159982313,0.0
2721,Binary classification,CSMOTE,elec2,0.0,3.5997225409992097,0.0
3628,Binary classification,CSMOTE,elec2,0.0,4.89240554099888,0.0
4535,Binary classification,CSMOTE,elec2,0.0,6.244255790999887,0.0
5442,Binary classification,CSMOTE,elec2,0.0,7.642056082999261,0.0
6349,Binary classification,CSMOTE,elec2,0.0,9.102750082998682,0.0
7256,Binary classification,CSMOTE,elec2,0.0,10.622671165998328,0.0
8163,Binary classification,CSMOTE,elec2,0.0,12.195775582998976,0.0
9070,Binary classification,CSMOTE,elec2,0.0,13.867571832999602,0.0
9977,Binary classification,CSMOTE,elec2,0.0,15.546147874998496,0.0
10884,Binary classification,CSMOTE,elec2,0.0,17.27542670799994,0.0
11791,Binary classification,CSMOTE,elec2,0.0,19.12209416599944,0.0
12698,Binary classification,CSMOTE,elec2,0.0,20.973944249999477,0.0
13605,Binary classification,CSMOTE,elec2,0.0,22.876338624999335,0.0
14512,Binary classification,CSMOTE,elec2,0.0,24.83821033299864,0.0
15419,Binary classification,CSMOTE,elec2,0.0,26.852580332999423,0.0
16326,Binary classification,CSMOTE,elec2,0.0,28.926842749999196,0.0
17233,Binary classification,CSMOTE,elec2,0.0,31.09756633299912,0.0
18140,Binary classification,CSMOTE,elec2,0.0,33.28233408300002,0.0
19047,Binary classification,CSMOTE,elec2,0.0,35.523137124999266,0.0
19954,Binary classification,CSMOTE,elec2,0.0,37.8262377079991,0.0
20861,Binary classification,CSMOTE,elec2,0.0,40.18920174999949,0.0
21768,Binary classification,CSMOTE,elec2,0.0,42.679320082999766,0.0
22675,Binary classification,CSMOTE,elec2,0.0,45.16986708299919,0.0
23582,Binary classification,CSMOTE,elec2,0.0,47.71261337499891,0.0
24489,Binary classification,CSMOTE,elec2,0.0,50.38789820799866,0.0
25396,Binary classification,CSMOTE,elec2,0.0,53.051162874999136,0.0
26303,Binary classification,CSMOTE,elec2,0.0,55.8440947909985,0.0
27210,Binary classification,CSMOTE,elec2,0.0,58.66478658300002,0.0
28117,Binary classification,CSMOTE,elec2,0.0,61.507933999999295,0.0
29024,Binary classification,CSMOTE,elec2,0.0,64.4374019579991,0.0
29931,Binary classification,CSMOTE,elec2,0.0,67.38099687499925,0.0
30838,Binary classification,CSMOTE,elec2,0.0,70.37483812499886,0.0
31745,Binary classification,CSMOTE,elec2,0.0,73.48434883299888,0.0
32652,Binary classification,CSMOTE,elec2,0.0,76.59073429099954,0.0
33559,Binary classification,CSMOTE,elec2,0.0,79.81368241599921,0.0
34466,Binary classification,CSMOTE,elec2,0.0,83.0834547909999,0.0
35373,Binary classification,CSMOTE,elec2,0.0,86.34884641600001,0.0
36280,Binary classification,CSMOTE,elec2,0.0,89.65955687499991,0.0
37187,Binary classification,CSMOTE,elec2,0.0,93.02786370799912,0.0
38094,Binary classification,CSMOTE,elec2,0.0,96.52005466599984,0.0
39001,Binary classification,CSMOTE,elec2,0.0,100.01758295799846,0.0
39908,Binary classification,CSMOTE,elec2,0.0,103.62861820799844,0.0
40815,Binary classification,CSMOTE,elec2,0.0,107.2448010829994,0.0
41722,Binary classification,CSMOTE,elec2,0.0,110.9208494579998,0.0
42629,Binary classification,CSMOTE,elec2,0.0,114.69620887499876,0.0
43536,Binary classification,CSMOTE,elec2,0.0,118.46891399999912,0.0
44443,Binary classification,CSMOTE,elec2,0.0,122.16737162499884,0.0
25,Binary classification,CSMOTE,phishing,0.0,0.0313918749998265,0.0
50,Binary classification,CSMOTE,phishing,0.0,0.0618428750003658,0.0
75,Binary classification,CSMOTE,phishing,0.0,0.0922471670000959,0.0
100,Binary classification,CSMOTE,phishing,0.0,0.1231624579995696,0.0
125,Binary classification,CSMOTE,phishing,0.0,0.1530705000004673,0.0
150,Binary classification,CSMOTE,phishing,0.0,0.1832699999995384,0.0
175,Binary classification,CSMOTE,phishing,0.0,0.2141969999993307,0.0
200,Binary classification,CSMOTE,phishing,0.0,0.2443827500010229,0.0
225,Binary classification,CSMOTE,phishing,0.0,0.2746587920009915,0.0
250,Binary classification,CSMOTE,phishing,0.0,0.3051675829992746,0.0
275,Binary classification,CSMOTE,phishing,0.0,0.3362569170003553,0.0
300,Binary classification,CSMOTE,phishing,0.0,0.3664710829998512,0.0
325,Binary classification,CSMOTE,phishing,0.0,0.3970782079995842,0.0
350,Binary classification,CSMOTE,phishing,0.0,0.4271256249994621,0.0
375,Binary classification,CSMOTE,phishing,0.0,0.4584494579994498,0.0
400,Binary classification,CSMOTE,phishing,0.0,0.4891628330005915,0.0
425,Binary classification,CSMOTE,phishing,0.0,0.5208238750001328,0.0
450,Binary classification,CSMOTE,phishing,0.0,0.5517290829993726,0.0
475,Binary classification,CSMOTE,phishing,0.0,0.5825607500009937,0.0
500,Binary classification,CSMOTE,phishing,0.0,0.6141040830007114,0.0
525,Binary classification,CSMOTE,phishing,0.0,0.6453913330005889,0.0
550,Binary classification,CSMOTE,phishing,0.0,0.6754676670007029,0.0
575,Binary classification,CSMOTE,phishing,0.0,0.7064189169996098,0.0
600,Binary classification,CSMOTE,phishing,0.0,0.7376257079995412,0.0
625,Binary classification,CSMOTE,phishing,0.0,0.7687927500010119,0.0
650,Binary classification,CSMOTE,phishing,0.0,0.7993131250004808,0.0
675,Binary classification,CSMOTE,phishing,0.0,0.8307934999993449,0.0
700,Binary classification,CSMOTE,phishing,0.0,0.8616890419998526,0.0
725,Binary classification,CSMOTE,phishing,0.0,0.891988332999972,0.0
750,Binary classification,CSMOTE,phishing,0.0,0.9231449580001936,0.0
775,Binary classification,CSMOTE,phishing,0.0,0.9546542080006476,0.0
800,Binary classification,CSMOTE,phishing,0.0,0.9852752080005304,0.0
825,Binary classification,CSMOTE,phishing,0.0,1.0171305000003483,0.0
850,Binary classification,CSMOTE,phishing,0.0,1.0485020420001092,0.0
875,Binary classification,CSMOTE,phishing,0.0,1.079252457999246,0.0
900,Binary classification,CSMOTE,phishing,0.0,1.1505030829994212,0.0
925,Binary classification,CSMOTE,phishing,0.0,1.1915704170005483,0.0
950,Binary classification,CSMOTE,phishing,0.0,1.2227061670000694,0.0
975,Binary classification,CSMOTE,phishing,0.0,1.2544022500005667,0.0
