step,track,model,dataset,Accuracy,F1,Memory in Mb,Time in s
2968,Binary classification,Logistic regression,bananas,0.5411051212938005,0.22613636363636364,0.004240989685058594,880.6127210000001
3074,Binary classification,Logistic regression,bananas,0.5403383214053351,0.22148760330578512,0.004240989685058594,957.688609
3180,Binary classification,Logistic regression,bananas,0.5437106918238994,0.22031166039763567,0.004240989685058594,1038.383702
3286,Binary classification,Logistic regression,bananas,0.5450395617772368,0.21604614577871,0.004240989685058594,1122.192244
3392,Binary classification,Logistic regression,bananas,0.5439268867924528,0.21272264631043258,0.004240989685058594,1209.8946740000001
3498,Binary classification,Logistic regression,bananas,0.5457404230989137,0.20827105132037868,0.004240989685058594,1300.757816
3604,Binary classification,Logistic regression,bananas,0.5480022197558269,0.2042012701514411,0.004240989685058594,1394.548652
3710,Binary classification,Logistic regression,bananas,0.546900269541779,0.19914244878513576,0.004240989685058594,1491.755671
3816,Binary classification,Logistic regression,bananas,0.5463836477987422,0.19450907398790138,0.004240989685058594,1592.8476739999999
3922,Binary classification,Logistic regression,bananas,0.5474247832738399,0.1906064751481988,0.004240989685058594,1697.4131879999998
4028,Binary classification,Logistic regression,bananas,0.547914597815293,0.1866904868244752,0.004240989685058594,1804.7684949999998
4134,Binary classification,Logistic regression,bananas,0.548137397194001,0.18285214348206474,0.004240989685058594,1915.999457
4240,Binary classification,Logistic regression,bananas,0.5474056603773585,0.17886178861788615,0.004240989685058594,2030.718567
4346,Binary classification,Logistic regression,bananas,0.5476300046019328,0.17671691792294805,0.004240989685058594,2148.965437
4452,Binary classification,Logistic regression,bananas,0.5498652291105122,0.1820408163265306,0.004240989685058594,2270.588002
4558,Binary classification,Logistic regression,bananas,0.5467310223782361,0.1814580031695721,0.004240989685058594,2395.895333
4664,Binary classification,Logistic regression,bananas,0.5465265866209262,0.18809980806142035,0.004240989685058594,2524.50169
4770,Binary classification,Logistic regression,bananas,0.5467505241090147,0.19086826347305388,0.004240989685058594,2656.381988
4876,Binary classification,Logistic regression,bananas,0.5469647251845775,0.19113877700476017,0.004240989685058594,2791.680431
4982,Binary classification,Logistic regression,bananas,0.5469690887193898,0.19765375044436545,0.004240989685058594,2930.020515
5088,Binary classification,Logistic regression,bananas,0.5448113207547169,0.19583333333333333,0.004240989685058594,3071.9185030000003
5194,Binary classification,Logistic regression,bananas,0.5429341547939931,0.19416157501697218,0.004240989685058594,3217.3215070000006
5300,Binary classification,Logistic regression,bananas,0.5432075471698113,0.1970149253731343,0.004240989685058594,3366.5924320000004
906,Binary classification,Logistic regression,elec2,0.7980132450331126,0.7834319526627219,0.0053730010986328125,1.249723
