step,track,model,dataset,Accuracy,MicroF1,MacroF1,Memory in Mb,Time in s
1104,Multiclass classification,Naive Bayes,imagesegments,0.658204895738894,0.658204895738894,0.6463297068165035,0.38997745513916016,380.8226380000001
1150,Multiclass classification,Naive Bayes,imagesegments,0.6640557006092254,0.6640557006092254,0.6508930463144658,0.39000415802001953,412.0399540000001
1196,Multiclass classification,Naive Bayes,imagesegments,0.6702928870292887,0.6702928870292887,0.6599370641329333,0.39000415802001953,444.1269010000001
1242,Multiclass classification,Naive Bayes,imagesegments,0.6736502820306205,0.6736502820306205,0.669511465798708,0.39000415802001953,478.1389570000001
1288,Multiclass classification,Naive Bayes,imagesegments,0.6822066822066822,0.6822066822066822,0.6790074545382362,0.39000415802001953,513.7610540000001
1334,Multiclass classification,Naive Bayes,imagesegments,0.6841710427606902,0.6841710427606902,0.6834974476087324,0.39000415802001953,550.618722
1380,Multiclass classification,Naive Bayes,imagesegments,0.6874546773023931,0.6874546773023931,0.6876766922721351,0.39000415802001953,588.7044480000001
1426,Multiclass classification,Naive Bayes,imagesegments,0.6919298245614035,0.6919298245614035,0.6930786661709784,0.39000415802001953,628.194918
1472,Multiclass classification,Naive Bayes,imagesegments,0.698844323589395,0.698844323589395,0.698560665802772,0.38997745513916016,669.1220910000001
1518,Multiclass classification,Naive Bayes,imagesegments,0.7027027027027027,0.7027027027027027,0.7017787722939463,0.39000415802001953,711.9447470000001
1564,Multiclass classification,Naive Bayes,imagesegments,0.7056941778630839,0.7056941778630839,0.7062915374924866,0.38997745513916016,755.6402390000001
1610,Multiclass classification,Naive Bayes,imagesegments,0.7078931013051585,0.7078931013051585,0.7081385387673028,0.38997745513916016,800.898588
1656,Multiclass classification,Naive Bayes,imagesegments,0.7093655589123867,0.7093655589123867,0.7109488618373112,0.3899507522583008,847.6221370000001
1702,Multiclass classification,Naive Bayes,imagesegments,0.7101704879482658,0.7101704879482658,0.7132092257742534,0.38997745513916016,896.4869840000001
1748,Multiclass classification,Naive Bayes,imagesegments,0.7143674871207785,0.7143674871207784,0.7178399485500211,0.3899507522583008,946.4886640000001
1794,Multiclass classification,Naive Bayes,imagesegments,0.7172336865588399,0.7172336865588399,0.7191260584555579,0.38997745513916016,997.8105200000001
1840,Multiclass classification,Naive Bayes,imagesegments,0.7199564980967917,0.7199564980967917,0.7217017555070445,0.39000415802001953,1050.125991
1886,Multiclass classification,Naive Bayes,imagesegments,0.7204244031830239,0.7204244031830238,0.7234495525792994,0.39000415802001953,1104.0834530000002
1932,Multiclass classification,Naive Bayes,imagesegments,0.7219057483169342,0.7219057483169342,0.723848351214801,0.39000415802001953,1158.9507690000003
1978,Multiclass classification,Naive Bayes,imagesegments,0.723823975720789,0.723823975720789,0.725139923863974,0.39000415802001953,1215.1879450000004
2024,Multiclass classification,Naive Bayes,imagesegments,0.726643598615917,0.726643598615917,0.7268553573885638,0.39000415802001953,1272.9208310000004
2070,Multiclass classification,Naive Bayes,imagesegments,0.7269212179797003,0.7269212179797003,0.7276782991451582,0.39000415802001953,1332.3648780000003
2116,Multiclass classification,Naive Bayes,imagesegments,0.7286052009456265,0.7286052009456266,0.7283656039279266,0.39000415802001953,1393.8230840000003
